subsystem,file,function_or_class,active_or_frozen,purpose,inputs,outputs,timing_semantics,source_gap_semantics,scaling_semantics,model_dependency,current_consumers,proposed_use,tests,audit_status,risk
"fourteen_regime_emissions","packages/stocker_research/src/stocker_research/regime_panel_v2.py","add_emission_features; EMISSION_FEATURES","active_pre_existing","Reconstruct the fourteen structural stock market and stock-relative emissions","Completed regular-session OHLCV rolling features and same-timestamp peer features","Fourteen causal emission columns","Available at bar_start_timestamp plus five minutes","Never rolls across segment_id","Raw physical units before training-only preprocessing","None","Right-Censored Regime Refit V2","Primary emission trajectory input","tests/test_regime_panel_v2.py","Independently reconstructed for 2045 sampled rows in the predecessor audit","Medium: early-session missingness must remain explicit"
"causal_emission_panel","packages/stocker_research/src/stocker_research/regime_panel_v2.py","build_regime_panel; build_symbol_features","active_pre_existing","Build deterministic 2024 and 2025 structural panels","Hash-bound provider OHLCV sources and NYSE calendar","PanelBuildResult with frame gaps and hashes","Completed bars only with explicit availability timestamps","Session and structural-gap local rolling windows","No scaling in builder","None","Regime repair pipeline","Rebuild development and unchanged validation trajectories","tests/test_regime_panel_v2.py","2024 and 2025 row-key and feature hashes independently reproduced pre-run","Low"
"robust_emission_preprocessing","packages/stocker_research/src/stocker_research/regime_validity_v2.py","fit_emission_preprocessing; transform_emissions; EmissionPreprocessing","active_pre_existing","Fit deterministic median imputation and robust 25/75 scaling","Development training rows and ordered emission names","Scaled float32 emission matrix","Fit on development rows only; transform current completed rows","Caller supplies segment-safe panel","Median imputation plus RobustScaler centre and IQR","Declared model lineage preprocessing","Regime refit and causal filter","Freeze development-only geometry while retaining missingness indicators separately","tests/test_regime_model_validity_v2.py; tests/test_regime_refit_v2.py","Reconstructed by Regime Model Validity and right-censored auditors","Medium: transformed medians are not meaningful zeros and require flags"
"source_gap_segmentation","packages/stocker_research/src/stocker_research/regime_gap_segmentation_v2.py","annotate_causal_segments; causal_segment_groups","active_pre_existing","Split sessions at missing ordinals or timestamp discontinuities","Natural-key ordered completed bars and expected exchange bars","segment_id segment ordinals gap ledger completeness flags","Uses present and immediately prior source row only","No stateful value crosses a source gap","Not applicable","None","Panel builder duration fit posterior filters","Mandatory excursion boundary and fail-closed continuation","tests/test_regime_gap_segmentation_v2.py","Passed predecessor independent reconstruction","Low"
"session_resets","packages/stocker_research/src/stocker_research/regime_gap_segmentation_v2.py","causal_segment_groups; reset_stateful_array_by_segment","active_pre_existing","Provide independent recursion and stateful-feature groups","Annotated causal panel","Strict increasing index groups","Resets at every session and segment start","Gaps always start a new group","Not applicable","Any declared posterior lineage","Posterior filters and hysteresis","Reset origins velocities posteriors and events","tests/test_regime_gap_segmentation_v2.py","Passed predecessor audit","Low"
"full_state_age_posterior","packages/stocker_research/src/stocker_research/causal_state_export_v2.py","causal_semimarkov_filter_v2; CausalStateExport","active_pre_existing","Retain full causal state and state-age posterior","Gaussian log emissions groups model parameters and completed-bar timestamps","State probabilities state-age probabilities entropy expected age departure probability hard MAP","Forward recursion uses current and earlier completed emissions only","Caller groups reset at source gaps and sessions","Uses lineage-specific frozen preprocessing","Frozen duration-only full-refit or sensitivity semi-Markov model","Loop Event Semantics V2 and Regime Model Validity V2","Posterior trajectory representation P and hybrid corroboration","tests/test_causal_state_export_v2.py; research work Loop Event Semantics tests","Independently reconstructed by both V2 auditors","Low"
"posterior_summary","packages/stocker_research/src/stocker_research/regime_validity_v2.py","causal_filter_summary; CausalFilterSummary","active_pre_existing","Memory-bounded causal posterior state age departure and likelihood summary","Model-internal Gaussian log emissions and causal groups","Posterior vectors hard state expected age departure entropy likelihood","One forward update per completed bar","Strict group reset","Lineage preprocessing applied before emissions","Any fitted semi-Markov lineage","K seed and training-sample validity reruns","Generate model-internal posterior trajectories for all sensitivity lineages","tests/test_regime_model_validity_v2.py","Independent posterior sample reconstruction passed","Low"
"hard_map_state","packages/stocker_research/src/stocker_research/causal_state_export_v2.py","causal_semimarkov_filter_v2.hard_map_state","active_pre_existing","Compatibility hard-state description","Current causal state posterior","MAP state and run age","Current completed bar only","Resets by supplied causal group","Lineage-specific","Model internal state numbering","Loop ledgers and validity comparison","Sensitivity only; never define cross-model semantic identity","tests/test_causal_state_export_v2.py","Audited exact argmax","Medium: numeric IDs are unstable across refits"
"hysteretic_state","packages/stocker_research/src/stocker_research/causal_state_export_v2.py","hysteretic_states; HysteresisConfig","active_pre_existing","Causally stabilize posterior argmax chatter","Current posterior and prior hysteretic state","Hysteretic hard path","No future rows","Caller must invoke separately per segment","Not applicable","Model-internal posterior dimensions","Regime representation sensitivity","Chatter diagnostic and sensitivity only","tests/test_causal_state_export_v2.py; tests/test_regime_model_validity_v2.py","Independent sampled reconstruction passed","Medium: must reset at source gaps"
"expected_state_age","packages/stocker_research/src/stocker_research/causal_state_export_v2.py","causal_semimarkov_filter_v2.expected_state_age","active_pre_existing","Causal posterior expected age","State by age posterior","Expected state age per completed bar","Current posterior only","Resets with posterior group","Not applicable","Declared semi-Markov lineage","Regime validity and repair","Hybrid trajectory context","tests/test_causal_state_export_v2.py","Independent reconstruction passed","Low"
"departure_probability","packages/stocker_research/src/stocker_research/causal_state_export_v2.py","causal_semimarkov_filter_v2.probability_state_transitions_next_bar","active_pre_existing","Causal probability of leaving current latent duration mass next bar","State-age posterior and hazard","Scalar departure probability","Forecast of latent transition from current completed bar without observing future","Resets with posterior group","Not applicable","Declared duration model","Regime validity and repair","Hybrid corroboration and later forecast feature only if Part A passes","tests/test_causal_state_export_v2.py","Independent reconstruction passed","Low"
"right_censored_duration","packages/stocker_research/src/stocker_research/right_censored_duration_v2.py","classify_training_run_endings; estimate_right_censored_durations","active_pre_existing_frozen_for_new_experiment","Fit exact ages 1 to 78 without fabricated terminal exits","Segmented development state runs","Run-ending ledger hazards survival and counts","Offline development fit; terminal session is right-censored","Gap-invalidated and incomplete runs excluded","Not applicable","State labels within one lineage","Right-Censored Regime Refit V2","Consume frozen fitted hazards only","tests/test_right_censored_duration_v2.py","Independent audit and exact rerun passed","Low"
