period,session,checkpoint,vti_proxy,opening_state,opening_sign,event_id,eligible_stock_count,acted_stock_count,included_in_total_event_count,included_in_positive_count,included_in_negative_count,exact_explanation
assessment,2025-01-02,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-3aeb06bdbeb416153e8ecf20,5,5,True,True,False,"Corrected common population: the severe VTI event contains 5 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-01-06,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-1dee32c928ea99ea2ec8b606,8,8,True,True,False,"Corrected common population: the severe VTI event contains 8 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-01-08,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-40642ed31f06466c77401887,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-01-10,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-ecc3128a49dccaf05fb89945,3,3,True,False,True,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-01-13,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-ae46af0363851978997c5e7f,3,3,True,True,False,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-01-14,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-d2eb49d3a18a3a7db9caf1b6,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-01-15,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-d1c0e549ef42c1a5d8642e18,1,1,True,True,False,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-01-16,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-303d5afe8d29332d29f027e3,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-01-27,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-4503d72569fdd39f7054de90,1,1,True,True,False,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-02-12,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-60a297b9a6aa89d4fccf312d,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-02-20,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-b303b6fee2556361c62dd340,2,2,True,False,True,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-02-24,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-3ecbeb0586b74f036361230d,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-02-25,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-a41f0f4771e5664df1ce183d,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-02-26,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-22be5722b3339073c7e2ee27,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
assessment,2025-02-27,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-ac2a21d993b5e017ebad89e5,1,1,True,False,True,"Corrected common population: the severe VTI event contains 1 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-03-03,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-c6fb9de09de7ecbd29d2feb2,3,3,True,False,True,"Corrected common population: the severe VTI event contains 3 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-03-04,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-f584e64ed71c4e86ffb1ca8d,4,4,True,False,True,"Corrected common population: the severe VTI event contains 4 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-03-07,6,VTI,POSITIVE_SEVERE_OPENING_TRANSITION,1,opening-transition-v1-1c71e769da242b258b7156c8,2,2,True,True,False,"Corrected common population: the severe VTI event contains 2 eligible checkpoint-6 stock episode(s), contributes once to the total, and contributes to exactly one signed count. The prior signed columns counted all severe VTI sessions while the total counted only events with eligible stocks."
assessment,2025-03-12,6,VTI,NEGATIVE_SEVERE_OPENING_TRANSITION,-1,opening-transition-v1-b304d25da2cb9f7b9de79386,0,0,False,False,False,All-market severe VTI session with zero eligible checkpoint-6 stock episodes; excluded from the corrected common-population total and signed counts. The prior mislabeled signed column included this session.
