symbol,option_date,roles,strategies,signal_sessions,cached_canonical_rows,complete_required_chain_cached,gap_reason
AAL,2024-01-31,contract_preselection,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-01-31,contract_preselection,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-01,entry_quote,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-01,entry_quote,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-02,exit_quote,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-02,exit_quote,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-05,contract_preselection,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-05,contract_preselection,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-06,entry_quote,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-06,entry_quote,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-07,exit_quote,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-07,exit_quote,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-13,contract_preselection,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-13,contract_preselection,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-14,entry_quote,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-14,entry_quote,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-15,exit_quote,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-15,exit_quote,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-26,contract_preselection,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-26,contract_preselection,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-27,entry_quote,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-27,entry_quote,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-28,exit_quote,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-02-28,exit_quote,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-03-06,contract_preselection,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-03-06,contract_preselection,S3,1,0,False,exact_symbol_date_chain_absent
AAL,2024-03-07,entry_quote,S1,1,0,False,exact_symbol_date_chain_absent
AAL,2024-03-07,entry_quote,S3,1,0,False,exact_symbol_date_chain_absent
