subsystem,file,function_or_class,active_or_frozen,purpose,inputs,outputs,current_duration_semantics,terminal_run_semantics,gap_semantics,deterministic_ordering,sampling_semantics,consumers,proposed_change,frozen_impact,tests,audit_status,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion,part_b_interaction_scoring_enabled,semantic_dictionary_promotion_enabled
provider_source,external:eodhd/stock/*/timeframe=5m/data.parquet,bounded_2024_source_rows,active_structural_input,"Provide UTC OHLCV source bars for 22 stocks and VTI",timestamp+OHLCV,bounded structural rows,not_applicable,not_applicable,"gaps visible as missing five-minute ordinals",provider timestamp then stable natural sort,not_applicable,panel builders,"Hash-bind every bounded source and preserve source-row identity",none,"source hash verification; protected-future bound",inspected,true,false,disabled,false,false,false,false,false,false,false
stock_features,research/slrno-v2/20260714-regime-loop-handoff/work/frozen_loop_movement_shadow_core.py,prepare_symbol_bars,frozen,"Construct causal stock-bar and historical-volume features",bounded provider OHLCV,per-symbol causal bar frame,not_applicable,not_applicable,"rolling windows reset by nominal session but not internal gaps",timestamp mergesort,not_applicable,legacy and V2 panel builders,"Archive equivalent V2 implementation with explicit segment boundaries",none,"existing loop-event and validity audits",inspected_future_gap_limit_confirmed,true,false,disabled,false,false,false,false,false,false,false
market_features,research/slrno-v2/20260714-regime-loop-handoff/work/frozen_loop_movement_shadow_core.py,add_market_features,frozen,"Add contemporaneously available peer and VTI structural features",stock panel+VTI bars,market medians+breadth+dispersion+relative movement,not_applicable,not_applicable,"peer availability follows rows present at timestamp",input row order retained,not_applicable,emission builder,"Archive equivalent V2 implementation and peer-availability provenance",none,"existing feature prefix invariance audit",inspected,true,false,disabled,false,false,false,false,false,false,false
market_context,research/slrno-v2/20260714-regime-loop-handoff/work/frozen_loop_movement_shadow_core.py,build_causal_b0,frozen,"Build prior-session slow broad-market context",daily stock panel,causal B0 state and scores,not_applicable,not_applicable,nominal daily sessions,session date then symbol stable sort,not_applicable,panel builder,"Reuse exact causal definitions in archived builder",none,existing provenance audits,inspected,true,false,disabled,false,false,false,false,false,false,false
emission_features,research/slrno-v2/20260714-regime-loop-handoff/work/frozen_loop_movement_shadow_core.py,add_emission_features,frozen,"Construct exact combined fourteen-feature emission surface",causal stock+market frame,14 emission columns,not_applicable,not_applicable,"inherits upstream session-only rolling limitation",input order retained,not_applicable,state preprocessing,"Archive exact formulas in V2 builder and prevent cross-gap rolling",none,"existing emission sample and prefix audits",inspected,true,false,disabled,false,false,false,false,false,false,false
panel_orchestration,research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py,_prepare_panel,frozen,"Assemble current audited 2024 panel and availability provenance",bounded source hashes+contract hash,completed-bar panel,not_applicable,not_applicable,"labels session completeness; does not rebuild all rolling features by segment",symbol then timestamp mergesort,not_applicable,Regime Validity V2,"Create complete typed archived panel builder with natural-key and feature hashes",none,"test_loop_event_semantics_v2; prior independent audit",inspected_reference_only,true,false,disabled,false,false,false,false,false,false,false
gap_segmentation,research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py,_contiguous_causal_groups,frozen,"Split posterior recursion at session or missing-bar boundaries",completed-bar panel,position groups,not_applicable,not_applicable,"correctly splits ordinal or timestamp gaps",existing panel order,not_applicable,V2 posterior,"Create reusable segment ledger and reset policy without modifying frozen runner",none,"existing validity session/gap tests",inspected,true,false,disabled,false,false,false,false,false,false,false
preprocessing,research/slrno-v2/20260714-regime-loop-handoff/work/frozen_loop_movement_shadow_core.py,scale_emissions,frozen,"Apply frozen median imputation and robust scaling",14 emissions+preprocessing CSV,scaled matrix,not_applicable,not_applicable,not_applicable,feature manifest order,not_applicable,emission likelihood,"Preserve for duration-only track; archive fitted parameters for full refit",none,"prior exact reconstruction and independent audit",inspected,true,false,disabled,false,false,false,false,false,false,false
preprocessing_fit,packages/stocker_research/src/stocker_research/regime_validity_v2.py,fit_emission_preprocessing,active,"Fit training-only median and robust scale",development panel,EmissionPreprocessing,not_applicable,not_applicable,not_applicable,frozen feature order,training rows only,full refit,"Reuse with row-hash-bound training population",none,tests/test_regime_model_validity_v2.py,inspected,true,false,disabled,false,false,false,false,false,false,false
training_sampling,research/slrno-v2/20260714-regime-loop-handoff/work/shadow_validation/frozen_loop_movement_shadow_v1/frozen_bundle/provenance/lineage/run_causal_semimarkov_regime_loops.py,MiniBatchKMeans sample_step,frozen,"Historical deterministic stride sample",scaled 2024 rows,at-most-200000-row fit sample,not_applicable,not_applicable,not_applicable,natural input order stride,deterministic stride,historical KMeans,"Preserve policy and archive exact selected row keys",none,prior refit audit,inspected,true,false,disabled,false,false,false,false,false,false,false
