model,group,deleted_symbol,rows,action_coverage,paired_difference_bps
sequential_route_plus_price_path,cycle_07|state5,RIOT,273,0.0,0.0
sequential_route_plus_price_path,cycle_07|state5,RIVN,281,0.0,0.0
sequential_route_plus_price_path,cycle_07|state5,SMCI,264,0.0,0.0
sequential_route_plus_price_path,cycle_07|state5,SOFI,275,0.0,0.0
sequential_route_plus_price_path,cycle_07|state5,WULF,277,0.0,0.0
sequential_route_state_only,pooled,AAL,390,0.0,0.0
sequential_route_state_only,pooled,AAOI,387,0.0,0.0
sequential_route_state_only,pooled,APLD,376,0.0,0.0
sequential_route_state_only,pooled,ASTS,382,0.0,0.0
sequential_route_state_only,pooled,CIFR,376,0.0,0.0
sequential_route_state_only,pooled,HIMS,387,0.0,0.0
sequential_route_state_only,pooled,IONQ,376,0.0,0.0
sequential_route_state_only,pooled,IREN,365,0.0,0.0
sequential_route_state_only,pooled,MARA,377,0.0,0.0
sequential_route_state_only,pooled,MP,384,0.0,0.0
sequential_route_state_only,pooled,MRNA,386,0.0,0.0
sequential_route_state_only,pooled,MSTR,377,0.0,0.0
sequential_route_state_only,pooled,NVTS,386,0.0,0.0
sequential_route_state_only,pooled,QBTS,388,0.0,0.0
sequential_route_state_only,pooled,RGTI,386,0.0,0.0
sequential_route_state_only,pooled,RIOT,373,0.0,0.0
sequential_route_state_only,pooled,RIVN,386,0.0,0.0
sequential_route_state_only,pooled,SMCI,375,0.0,0.0
sequential_route_state_only,pooled,SOFI,381,0.0,0.0
sequential_route_state_only,pooled,WULF,381,0.0,0.0
sequential_route_state_only,cycle_04|state4,AAL,108,0.0,0.0
sequential_route_state_only,cycle_04|state4,AAOI,107,0.0,0.0
sequential_route_state_only,cycle_04|state4,APLD,108,0.0,0.0
sequential_route_state_only,cycle_04|state4,ASTS,104,0.0,0.0
sequential_route_state_only,cycle_04|state4,CIFR,103,0.0,0.0
sequential_route_state_only,cycle_04|state4,HIMS,106,0.0,0.0
sequential_route_state_only,cycle_04|state4,IONQ,111,0.0,0.0
sequential_route_state_only,cycle_04|state4,IREN,108,0.0,0.0
sequential_route_state_only,cycle_04|state4,MARA,104,0.0,0.0
sequential_route_state_only,cycle_04|state4,MP,99,0.0,0.0
sequential_route_state_only,cycle_04|state4,MRNA,105,0.0,0.0
sequential_route_state_only,cycle_04|state4,MSTR,112,0.0,0.0
sequential_route_state_only,cycle_04|state4,NVTS,106,0.0,0.0
sequential_route_state_only,cycle_04|state4,QBTS,112,0.0,0.0
sequential_route_state_only,cycle_04|state4,RGTI,109,0.0,0.0
sequential_route_state_only,cycle_04|state4,RIOT,100,0.0,0.0
sequential_route_state_only,cycle_04|state4,RIVN,105,0.0,0.0
sequential_route_state_only,cycle_04|state4,SMCI,111,0.0,0.0
sequential_route_state_only,cycle_04|state4,SOFI,106,0.0,0.0
sequential_route_state_only,cycle_04|state4,WULF,104,0.0,0.0
sequential_route_state_only,cycle_07|state5,AAL,282,0.0,0.0
sequential_route_state_only,cycle_07|state5,AAOI,280,0.0,0.0
sequential_route_state_only,cycle_07|state5,APLD,268,0.0,0.0
sequential_route_state_only,cycle_07|state5,ASTS,278,0.0,0.0
sequential_route_state_only,cycle_07|state5,CIFR,273,0.0,0.0
sequential_route_state_only,cycle_07|state5,HIMS,281,0.0,0.0
sequential_route_state_only,cycle_07|state5,IONQ,265,0.0,0.0
sequential_route_state_only,cycle_07|state5,IREN,257,0.0,0.0
sequential_route_state_only,cycle_07|state5,MARA,273,0.0,0.0
sequential_route_state_only,cycle_07|state5,MP,285,0.0,0.0
sequential_route_state_only,cycle_07|state5,MRNA,281,0.0,0.0
sequential_route_state_only,cycle_07|state5,MSTR,265,0.0,0.0
sequential_route_state_only,cycle_07|state5,NVTS,280,0.0,0.0
sequential_route_state_only,cycle_07|state5,QBTS,276,0.0,0.0
sequential_route_state_only,cycle_07|state5,RGTI,277,0.0,0.0
sequential_route_state_only,cycle_07|state5,RIOT,273,0.0,0.0
sequential_route_state_only,cycle_07|state5,RIVN,281,0.0,0.0
sequential_route_state_only,cycle_07|state5,SMCI,264,0.0,0.0
sequential_route_state_only,cycle_07|state5,SOFI,275,0.0,0.0
sequential_route_state_only,cycle_07|state5,WULF,277,0.0,0.0
