period,category,reason,episode_count
development,market_window,invalid_market_bar:1,1
development,market_window,non_contiguous_market_timestamps:0-2,1
development,market_window,w1_reference_would_cross_session,413
development,market_shock,"insufficient_predictor_support:market_return_w0_v1=0,market_range_w0_v1=0,market_return_w1_v1=0,market_range_w1_v1=0",413
development,market_shock,invalid_market_bar:1,1
development,market_shock,market_window_measurement_incomplete,413
development,market_shock,non_contiguous_market_timestamps:0-2,1
development,market_shock,w1_reference_would_cross_session,413
development,stock_response,"insufficient_predictor_support:market_return_w0_v1=0,market_range_w0_v1=0,market_return_w1_v1=0,market_range_w1_v1=0",413
development,stock_response,invalid_market_bar:1,1
development,stock_response,market_window_measurement_incomplete,413
development,stock_response,non_contiguous_market_timestamps:0-2,1
development,stock_response,w1_reference_would_cross_session,413
assessment,market_window,w1_reference_would_cross_session,360
assessment,market_shock,"insufficient_predictor_support:market_return_w0_v1=0,market_range_w0_v1=0,market_return_w1_v1=0,market_range_w1_v1=0",360
assessment,market_shock,market_window_measurement_incomplete,360
assessment,market_shock,w1_reference_would_cross_session,360
assessment,stock_response,"insufficient_predictor_support:market_return_w0_v1=0,market_range_w0_v1=0,market_return_w1_v1=0,market_range_w1_v1=0",360
assessment,stock_response,market_window_measurement_incomplete,360
assessment,stock_response,w1_reference_would_cross_session,360
stress,market_window,w1_reference_would_cross_session,442
stress,market_shock,"insufficient_predictor_support:market_return_w0_v1=0,market_range_w0_v1=0,market_return_w1_v1=0,market_range_w1_v1=0",442
stress,market_shock,market_window_measurement_incomplete,442
stress,market_shock,w1_reference_would_cross_session,442
stress,stock_response,"insufficient_predictor_support:market_return_w0_v1=0,market_range_w0_v1=0,market_return_w1_v1=0,market_range_w1_v1=0",442
stress,stock_response,market_window_measurement_incomplete,442
stress,stock_response,w1_reference_would_cross_session,442
