representation,removed_symbol,rows,log_loss_improvement,brier_improvement,positive_log_loss_direction
CAUSAL_HARD_SEMANTIC,AAL,85172,0.00504128781517,0.00225223740545,True
CAUSAL_HARD_SEMANTIC,AAOI,85410,0.00484557757045,0.00215899299603,True
CAUSAL_HARD_SEMANTIC,APLD,85694,0.00479366503376,0.00213006655714,True
CAUSAL_HARD_SEMANTIC,ASTS,85590,0.00478829925784,0.00212409537797,True
CAUSAL_HARD_SEMANTIC,AXTI,85194,0.00426047866845,0.00187662350787,True
CAUSAL_HARD_SEMANTIC,CIFR,85865,0.00456432230643,0.00204485360256,True
CAUSAL_HARD_SEMANTIC,HIMS,85925,0.00487382317386,0.00216992214267,True
CAUSAL_HARD_SEMANTIC,IONQ,85649,0.00474085263807,0.00210994330499,True
CAUSAL_HARD_SEMANTIC,IREN,85689,0.00483406409285,0.00215181361353,True
CAUSAL_HARD_SEMANTIC,MARA,85210,0.00490657078963,0.00219273992808,True
CAUSAL_HARD_SEMANTIC,MP,85811,0.00476077488586,0.00213055138529,True
CAUSAL_HARD_SEMANTIC,MRNA,84992,0.00490806733329,0.00218889215278,True
CAUSAL_HARD_SEMANTIC,MSTR,85219,0.00480359855029,0.00215093247657,True
CAUSAL_HARD_SEMANTIC,NVTS,85251,0.00486222461277,0.00218213683332,True
CAUSAL_HARD_SEMANTIC,OKLO,85849,0.00483179737909,0.00214609361435,True
CAUSAL_HARD_SEMANTIC,QBTS,85900,0.00483618655905,0.00215490608721,True
CAUSAL_HARD_SEMANTIC,RGTI,85667,0.00490741629515,0.00217692595065,True
CAUSAL_HARD_SEMANTIC,RIOT,85243,0.00482657019607,0.00215920001571,True
CAUSAL_HARD_SEMANTIC,RIVN,85115,0.0049672966376,0.00222645185123,True
CAUSAL_HARD_SEMANTIC,SMCI,85293,0.00507737361691,0.00227362343855,True
CAUSAL_HARD_SEMANTIC,SOFI,85312,0.00485708440737,0.00216576880565,True
CAUSAL_HARD_SEMANTIC,WULF,85500,0.00475169737153,0.0021151632663,True
CAUSAL_HYSTERETIC_SEMANTIC,AAL,74458,0.00572938002718,0.00256669784392,True
CAUSAL_HYSTERETIC_SEMANTIC,AAOI,74720,0.00541810814788,0.0024184249555,True
CAUSAL_HYSTERETIC_SEMANTIC,APLD,74961,0.00554248592866,0.00246444149961,True
CAUSAL_HYSTERETIC_SEMANTIC,ASTS,74846,0.00555799336503,0.00246279436781,True
CAUSAL_HYSTERETIC_SEMANTIC,AXTI,74345,0.00480510195397,0.00212946448451,True
CAUSAL_HYSTERETIC_SEMANTIC,CIFR,75034,0.00532110690092,0.00238096177937,True
CAUSAL_HYSTERETIC_SEMANTIC,HIMS,75132,0.00571130025579,0.00254750413679,True
CAUSAL_HYSTERETIC_SEMANTIC,IONQ,74907,0.00545643385811,0.00243794977929,True
CAUSAL_HYSTERETIC_SEMANTIC,IREN,74893,0.00552313647931,0.00245604200832,True
CAUSAL_HYSTERETIC_SEMANTIC,MARA,74512,0.00574250947824,0.00254954126417,True
CAUSAL_HYSTERETIC_SEMANTIC,MP,74998,0.00555295440117,0.00249981462139,True
CAUSAL_HYSTERETIC_SEMANTIC,MRNA,74352,0.00574962158193,0.0025761097358,True
CAUSAL_HYSTERETIC_SEMANTIC,MSTR,74553,0.00570764608016,0.00254713116055,True
CAUSAL_HYSTERETIC_SEMANTIC,NVTS,74528,0.00565828650765,0.00253116370863,True
CAUSAL_HYSTERETIC_SEMANTIC,OKLO,75054,0.00542882920878,0.00242390549597,True
CAUSAL_HYSTERETIC_SEMANTIC,QBTS,75120,0.00554224915295,0.00247543067365,True
CAUSAL_HYSTERETIC_SEMANTIC,RGTI,74898,0.00559124652924,0.00248245072534,True
CAUSAL_HYSTERETIC_SEMANTIC,RIOT,74483,0.00564468209017,0.00251601620509,True
CAUSAL_HYSTERETIC_SEMANTIC,RIVN,74486,0.00575811180321,0.00258006445849,True
CAUSAL_HYSTERETIC_SEMANTIC,SMCI,74613,0.00576103365282,0.0025816192595,True
CAUSAL_HYSTERETIC_SEMANTIC,SOFI,74596,0.00565819356113,0.00253239501232,True
CAUSAL_HYSTERETIC_SEMANTIC,WULF,74748,0.00545578877312,0.00242624188191,True
